aircraft_model,airline,tail_number
CRJ-700,Skywest Airlines,N637CA
E175-,Skywest Airlines,N205SY
B747-400,KLM Royal Dutch Airlines,PHBFB
B737-700,Southwest Airlines,N968WN
A320-200,United Airlines,N424UA
SHORTS-360,DHL Express (USA),N24MG
B737-800,Alaska Airlines,N560AS
EMB-120,Skywest Airlines,N218SW
B747-400,Evergreen International Airlines,3203EV
CRJ-700,Skywest Airlines,N340CA
CRJ-200,Skywest Airlines,N906EV
CRJ-200,Skywest Airlines,N701BR
A350-900,Cathay Pacific,BLRL
EMB-120,Skywest Airlines,N576SW
A300-B2,Swissport USA,373PC
A321-200,Delta Air Lines,N321DH
B777-300,Emirates ,A6EFJ
EMB-120,Skywest Airlines,N229SW
B747-400ER,Nippon Cargo Airlines,JA08KZ
B767-400ER,Delta Air Lines,N854MH
B737-700,Southwest Airlines,N7879A
B787-9,Virgin Atlantic,GVBOW
B777-300,Korean Air Lines,HL9999
B717-,Delta Air Lines,N608AT
A330-200,American Airlines,N289AY
CRJ-200,Skywest Airlines,N925EV
CRJ-900,Skywest Airlines,N258SK
B767-400ER,Delta Air Lines,N829MH
B777-300,United Airlines,N3639U
B787-9,Korean Air Lines,HL8083
CRJ-900,Air Canada,CGPJZ
B747-400,Qantas Airways,VH-OEJ
A350-900,Cathay Pacific,BLRQ
B737-900,Alaska Airlines,N281AK
B777-300,Korean Air Lines,HL8011
B737-900,Alaska Airlines,N263AK
B747-400,Swissport USA,740WA
A320-200,Air Canada,CFLSS
E175-,Horizon Air ,N623QX
B767-300,Atlas Air Inc,N1399A
B787-9,Korean Air Lines,HL8082
DC8-73F,Swissport USA,865F
A350-900,Asiana Airlines,HL7578
B737-800,Southwest Airlines,N8715Q
B737-900,Alaska Airlines,N280AS
B737-900,Alaska Airlines,N440AS
A330-300,Hawaiian Airlines,N382HA
A350-900,Cathay Pacific,BLRV
A321-200,Delta Air Lines,N335DN
B737-700,Southwest Airlines,N7743B
B747-400,Singapore Airlines,9VSFQ
B747-400,Qantas Airways,VH-OJS
B777-300,Korean Air Lines,HL8250
EMB-120,Skywest Airlines,N224SW
CRJ-900,Air Canada,CGLJZ
A321-200,JetBlue Airways,N982JT
A350-900,Cathay Pacific,BLRO
A319-,Delta Air Lines,N368NB
A300-600,Air China,AC1234
CRJ-200,Skywest Airlines,N905EV
B737-900,Alaska Airlines,N266AK
B767-400ER,Delta Air Lines,N832MH
A321-200,Virgin America,N924VA
B737-700,Sun Country Airlines,N716SY
B737-900,Alaska Airlines,N448AS
E175-,Compass Airlines,N633CZ
MD-11,EVA Airways,B16108
MD-11,EVA Airways,B16109
MD-11,EVA Airways,B16110
MD-11,EVA Airways,B16113
B747-400,EVA Airways,B16401
B747-400,EVA Airways,B16402
B747-400,EVA Airways,B16403
B777-300,United Airlines,N2534U
E175-,Compass Airlines,N607CZ
B747-400,EVA Airways,B16462
B747-400,EVA Airways,B16463
B747-400,EVA Airways,B16481
B747-400,EVA Airways,B16482
B747-400,EVA Airways,B16483
B747-400,EVA Airways,B16487
B767-300,DHL Express (USA),N648GT
CRJ-900,Skywest Airlines,N4903S
EMB-120,Skywest Airlines,N580SW
CRJ-200,Skywest Airlines,N461SK
B737-800,Alaska Airlines,N551AS
E175-,Skywest Airlines,N167SY
B777-300,Korean Air Lines,HL7202
B737-800,Alaska Airlines,N633AS
EMB-120,Skywest Airlines,N236SW
B747-400,China Airlines,B18702
B747-400,China Airlines,B18705
CRJ-100,Skywest Airlines,N454
B737-800,Southwest Airlines,N8528Q
CRJ-200,Skywest Airlines,N903EV
B747-400,Qantas Airways,VH-OED
B767-200,Amerijet,N743AX
EMB-120,Skywest Airlines,N560SW
CRJ-200,Skywest Airlines,N412SW
A350-900,Cathay Pacific,BLRM
